ALPHA:0.25, BETA: 0.25, GAMMA:0.25, DELTA:0.25
ALPHA:0.25, BETA: 0.5, GAMMA:0.5, DELTA:1
33.06557318721981

ALPHA:0.25, BETA: 0.5, GAMMA:0.75, DELTA:0.25
37.95438696363766

ALPHA:0.25, BETA: 0.5, GAMMA:0.75, DELTA:0.5
37.51238169785811

ALPHA:0.25, BETA: 0.5, GAMMA:0.75, DELTA:0.75
35.03675371806732

ALPHA:0.25, BETA: 0.5, GAMMA:0.75, DELTA:1
32.55959581584004

ALPHA:0.25, BETA: 0.5, GAMMA:1, DELTA:0.25
32.92200953533053

ALPHA:0.25, BETA: 0.5, GAMMA:1, DELTA:0.5
34.104034725681345

ALPHA:0.25, BETA: 0.5, GAMMA:1, DELTA:0.75
33.395965274318655

ALPHA:0.25, BETA: 0.5, GAMMA:1, DELTA:1
31.84586920942148

ALPHA:0.25, BETA: 0.75, GAMMA:0.25, DELTA:0.25
42.41332811499324

ALPHA:0.25, BETA: 0.75, GAMMA:0.25, DELTA:0.5
39.31053867501601

ALPHA:0.25, BETA: 0.75, GAMMA:0.25, DELTA:0.75
35.607094570554324

ALPHA:0.25, BETA: 0.75, GAMMA:0.25, DELTA:1
32.49822102042269

ALPHA:0.25, BETA: 0.75, GAMMA:0.5, DELTA:0.25
39.46203657582011

ALPHA:0.25, BETA: 0.75, GAMMA:0.5, DELTA:0.5
37.92773784956949

ALPHA:0.25, BETA: 0.75, GAMMA:0.5, DELTA:0.75
34.97569913897388

ALPHA:0.25, BETA: 0.75, GAMMA:0.5, DELTA:1
32.36426385825091

ALPHA:0.25, BETA: 0.75, GAMMA:0.75, DELTA:0.25
35.41240304561303

ALPHA:0.25, BETA: 0.75, GAMMA:0.75, DELTA:0.5
35.88991674375578

ALPHA:0.25, BETA: 0.75, GAMMA:0.75, DELTA:0.75
34.212979434996086

ALPHA:0.25, BETA: 0.75, GAMMA:0.75, DELTA:1
32.16252757418344

ALPHA:0.25, BETA: 0.75, GAMMA:1, DELTA:0.25
31.45182523304632

ALPHA:0.25, BETA: 0.75, GAMMA:1, DELTA:0.5
33.156834839536046

ALPHA:0.25, BETA: 0.75, GAMMA:1, DELTA:0.75
32.78655803031381

ALPHA:0.25, BETA: 0.75, GAMMA:1, DELTA:1
31.524941293673947

ALPHA:0.25, BETA: 1, GAMMA:0.25, DELTA:0.25
36.34601152778766

ALPHA:0.25, BETA: 1, GAMMA:0.25, DELTA:0.5
35.6424251049598

ALPHA:0.25, BETA: 1, GAMMA:0.25, DELTA:0.75
33.574859460613396

ALPHA:0.25, BETA: 1, GAMMA:0.25, DELTA:1
31.249555255105676

ALPHA:0.25, BETA: 1, GAMMA:0.5, DELTA:0.25
34.61317868070874

ALPHA:0.25, BETA: 1, GAMMA:0.5, DELTA:0.5
34.88625204582651

ALPHA:0.25, BETA: 1, GAMMA:0.5, DELTA:0.75
33.30609122607272

ALPHA:0.25, BETA: 1, GAMMA:0.5, DELTA:1
31.378709172418695

ALPHA:0.25, BETA: 1, GAMMA:0.75, DELTA:0.25
31.828684266704613

ALPHA:0.25, BETA: 1, GAMMA:0.75, DELTA:0.5
33.4707891553405

ALPHA:0.25, BETA: 1, GAMMA:0.75, DELTA:0.75
32.81957589126877

ALPHA:0.25, BETA: 1, GAMMA:0.75, DELTA:1
31.301714936312536

ALPHA:0.25, BETA: 1, GAMMA:1, DELTA:0.25
29.53906639151782

ALPHA:0.25, BETA: 1, GAMMA:1, DELTA:0.5
31.719881875756073

ALPHA:0.25, BETA: 1, GAMMA:1, DELTA:0.75
31.88970326620651

ALPHA:0.25, BETA: 1, GAMMA:1, DELTA:1
30.956343841172696

ALPHA:0.5, BETA: 0.25, GAMMA:0.25, DELTA:0.25
62.948836547356436

ALPHA:0.5, BETA: 0.25, GAMMA:0.25, DELTA:0.5
57.20113143101117

ALPHA:0.5, BETA: 0.25, GAMMA:0.25, DELTA:0.75
51.7641784672312

ALPHA:0.5, BETA: 0.25, GAMMA:0.25, DELTA:1
46.966590763538036

ALPHA:0.5, BETA: 0.25, GAMMA:0.5, DELTA:0.25
59.66701060271828

ALPHA:0.5, BETA: 0.25, GAMMA:0.5, DELTA:0.5
54.766989254963356

ALPHA:0.5, BETA: 0.25, GAMMA:0.5, DELTA:0.75
49.97577029815698

ALPHA:0.5, BETA: 0.25, GAMMA:0.5, DELTA:1
45.528356934462394

ALPHA:0.5, BETA: 0.25, GAMMA:0.75, DELTA:0.25
54.44175620863872

ALPHA:0.5, BETA: 0.25, GAMMA:0.75, DELTA:0.5
50.97459617163595

ALPHA:0.5, BETA: 0.25, GAMMA:0.75, DELTA:0.75
47.26617092435779

ALPHA:0.5, BETA: 0.25, GAMMA:0.75, DELTA:1
43.56703195047321

ALPHA:0.5, BETA: 0.25, GAMMA:1, DELTA:0.25
48.80986266277663

ALPHA:0.5, BETA: 0.25, GAMMA:1, DELTA:0.5
47.25827225503451

ALPHA:0.5, BETA: 0.25, GAMMA:1, DELTA:0.75
44.67131573329538

ALPHA:0.5, BETA: 0.25, GAMMA:1, DELTA:1
41.84939158898456

ALPHA:0.5, BETA: 0.5, GAMMA:0.25, DELTA:0.25
61.14804668042411

ALPHA:0.5, BETA: 0.5, GAMMA:0.25, DELTA:0.5
56.097559240019926

ALPHA:0.5, BETA: 0.5, GAMMA:0.25, DELTA:0.75
51.13306767238312

ALPHA:0.5, BETA: 0.5, GAMMA:0.25, DELTA:1
46.5460399914609

ALPHA:0.5, BETA: 0.5, GAMMA:0.5, DELTA:0.25
58.23891695723333

ALPHA:0.5, BETA: 0.5, GAMMA:0.5, DELTA:0.5
53.90877392727531

ALPHA:0.5, BETA: 0.5, GAMMA:0.5, DELTA:0.75
49.433786380132354

ALPHA:0.5, BETA: 0.5, GAMMA:0.5, DELTA:1
45.261509997865225

ALPHA:0.5, BETA: 0.5, GAMMA:0.75, DELTA:0.25
53.36881804596883

ALPHA:0.5, BETA: 0.5, GAMMA:0.75, DELTA:0.5
50.34177755639365

ALPHA:0.5, BETA: 0.5, GAMMA:0.75, DELTA:0.75
46.89336796413577

ALPHA:0.5, BETA: 0.5, GAMMA:0.75, DELTA:1
43.40329467017719

ALPHA:0.5, BETA: 0.5, GAMMA:1, DELTA:0.25
48.09720344410446

ALPHA:0.5, BETA: 0.5, GAMMA:1, DELTA:0.5
46.805593111791076

ALPHA:0.5, BETA: 0.5, GAMMA:1, DELTA:0.75
44.403010033444815

ALPHA:0.5, BETA: 0.5, GAMMA:1, DELTA:1
41.72208781043194

ALPHA:0.5, BETA: 0.75, GAMMA:0.25, DELTA:0.25
57.98907706539529

ALPHA:0.5, BETA: 0.75, GAMMA:0.25, DELTA:0.5
53.883014302995804

ALPHA:0.5, BETA: 0.75, GAMMA:0.25, DELTA:0.75
49.6385825090728

ALPHA:0.5, BETA: 0.75, GAMMA:0.25, DELTA:1
45.511065252970894

ALPHA:0.5, BETA: 0.75, GAMMA:0.5, DELTA:0.25
55.58930477478118

ALPHA:0.5, BETA: 0.75, GAMMA:0.5, DELTA:0.5
52.05194620365758

ALPHA:0.5, BETA: 0.75, GAMMA:0.5, DELTA:0.75
48.239913185796624

ALPHA:0.5, BETA: 0.75, GAMMA:0.5, DELTA:1
44.44396214331459

ALPHA:0.5, BETA: 0.75, GAMMA:0.75, DELTA:0.25
51.49686899594393

ALPHA:0.5, BETA: 0.75, GAMMA:0.75, DELTA:0.5
49.01554828150573

ALPHA:0.5, BETA: 0.75, GAMMA:0.75, DELTA:0.75
46.081797480964916

ALPHA:0.5, BETA: 0.75, GAMMA:0.75, DELTA:1
42.87934960506654

ALPHA:0.5, BETA: 0.75, GAMMA:1, DELTA:0.25
46.68846509642069

ALPHA:0.5, BETA: 0.75, GAMMA:1, DELTA:0.5
45.81854408311393

ALPHA:0.5, BETA: 0.75, GAMMA:1, DELTA:0.75
43.80947128726962

ALPHA:0.5, BETA: 0.75, GAMMA:1, DELTA:1
41.29139685476411

ALPHA:0.5, BETA: 1, GAMMA:0.25, DELTA:0.25
53.31936241371949

ALPHA:0.5, BETA: 1, GAMMA:0.25, DELTA:0.5
50.48797409805736

ALPHA:0.5, BETA: 1, GAMMA:0.25, DELTA:0.75
47.146232121255245

ALPHA:0.5, BETA: 1, GAMMA:0.25, DELTA:1
43.73607058990963

ALPHA:0.5, BETA: 1, GAMMA:0.5, DELTA:0.25
51.791112218031735

ALPHA:0.5, BETA: 1, GAMMA:0.5, DELTA:0.5
49.41709955169715

ALPHA:0.5, BETA: 1, GAMMA:0.5, DELTA:0.75
46.35597381342062

ALPHA:0.5, BETA: 1, GAMMA:0.5, DELTA:1
43.110794848075145

ALPHA:0.5, BETA: 1, GAMMA:0.75, DELTA:0.25
48.202341137123746

ALPHA:0.5, BETA: 1, GAMMA:0.75, DELTA:0.5
46.70465381057426

ALPHA:0.5, BETA: 1, GAMMA:0.75, DELTA:0.75
44.398811641642354

ALPHA:0.5, BETA: 1, GAMMA:0.75, DELTA:1
41.698142745321285

ALPHA:0.5, BETA: 1, GAMMA:1, DELTA:0.25
